,Unnamed: 0,Date,Title,Description,score1
0,0,"May 26, 2020, Tuesday","ATMs to become virtual bank branches, accept deposits with instant credit","Close to 14.6 per cent (or 35,000) of the 240,000 ATMs in India are new-age recyclers, even though they have been around for only ...",neutral
1,1,"May 26, 2020, Tuesday",IDFC First Bank seniors to forgo 65% of bonus amid Covid-19 crisis,"V Vaidyanathan, managing director and chief executive, will take 30 per cent cut in his compensation, including fixed ...",neutral
2,2,"May 25, 2020, Monday","Huge scam in YES Bank for many years, says Enforcement Directorate",Rana Kapoor's wife also charged with abetting crime,neutral
3,3,"May 24, 2020, Sunday","Bank of Maharashtra sanctioned Rs 2,789 cr in loans to MSMEs in 3 months",The bank said it was now gearing up to extend the stimulus package announced by Finance Minister Nirmala Sitharaman to restart ...,neutral
4,4,"May 23, 2020, Saturday",DCB Bank's profit before tax declines 37.6% to Rs 93.84 crore in Q4,"Net profit for the financial year ended March 31, 2020 (FY20), stood at Rs 337.25 crore, up marginally from Rs 325.37 crore in ...",negative
5,5,"May 23, 2020, Saturday","Bank of Baroda to advance Rs 12,000 crore to MSMEs under govt scheme","Under the scheme, the government will offer 100 per cent guarantee on loans.",neutral
6,6,"May 22, 2020, Friday","Retail, MSME loans to get cheaper as RBI cuts repo rate in surprise action",HDFC Bank cuts base rate by 55 bps; SBI calls ALCO meeting to take call,positive
7,7,"May 22, 2020, Friday","RBI forecasts economic contraction, announces a sharp 40-bp rate cut","The six-member MPC also kept policy stance unchanged at 'accommodative' for ""as long as necessary"" to revive growth",negative
8,8,"May 22, 2020, Friday","RBI extends loan moratorium till Aug 31, silent on one-time restructuring",The central bank has increased group exposure limits of lenders from 25% to 30%,neutral
9,9,"May 22, 2020, Friday","Govt seeks to raise Rs 14,000 cr from second tranche of Bharat Bond ETF",Two new series will have maturities of April 2025 and April 2031.,neutral
10,10,"May 22, 2020, Friday","Covid-19 crisis: Slippages may jump to Rs 5.5 trillion, says India Ratings",Credit costs could touch Rs 2.7 trillion,negative
11,11,"May 22, 2020, Friday","Lockdown 4.0: Normalcy returning for shadow lenders, albeit at a slow pace",Enquiries for fresh loans see uptick,neutral
12,12,"May 21, 2020, Thursday","Covid-19: Banking slippages may rise by Rs 5.5 trn this fiscal, says report","While slippages from the corporate sector may rise by Rs 3.4 trillion, for non-corporate segments it may increase by Rs 2.1 ...",negative
13,13,"May 21, 2020, Thursday","FM Sitharaman to review banking situation, credit offtake with PSB chiefs","The meeting was earlier scheduled on May 11, but due to the stimulus package announcements, it was deferred, they added",neutral
14,14,"May 21, 2020, Thursday",It will be a long road to recovery from Covid-19: Axis Bank chief,"In a Q&A, the lender's MD & CEO, Amitabh Chaudhry, also dwells on the stimulus package announced by the government, and risk ...",neutral
15,15,"May 21, 2020, Thursday",Bank credit growth slowed in Dec quarter on muted industrial demand,Loans sanctioned by public sector banks (PSBs) at the end of May 8 stood at Rs 5.95 trillion,negative
16,16,"May 21, 2020, Thursday","Covid-19 crisis: Banks seek relaxed NPA norms, moratorium extension",Senior bank executives said the Indian Banks' Association (IBA) has already approached the Reserve Bank of India with a plea for ...,neutral
17,17,"May 21, 2020, Thursday",It may be time to change the way UCBs and NBFCs raise retail deposits,It may be time to link the higher deposit insurance cover and the way co-operative banks and select non-banks raise retail ...,neutral
18,18,"May 20, 2020, Wednesday",Govt to use RBI money to support struggling NBFCs for just three months,NBFCs cry foul as they were expecting a two-three year support,neutral
19,19,"May 20, 2020, Wednesday",RBI may need to slash rates alongside providing fiscal stimulus: Economists,"The only way to boost demand may be lowering interest rates to boost consumption, analysts said",neutral
20,20,"May 20, 2020, Wednesday",RBI refuses a dozen licences to NBFCs with investments from Mauritius,"PE, VC funds domiciled in the island nation on the radar",neutral
21,21,"May 19, 2020, Tuesday","PSBs report sharp rise in deposits thanks to YES Bank, Franklin fiasco",Last financial year saw a series of banks failures starting with Punjab & Maharashtra Co-operative Bank and culminated in near ...,positive
22,22,"May 19, 2020, Tuesday","Moratorium to strain NBFC liquidity even further, bad debts to rise","These firms operate with very little short-term liquidity, which can become even more strained as customers start defaulting even ...",negative
23,23,"May 19, 2020, Tuesday",PSBs sanctioned loans worth Rs 6.45 trn in lockdown between Mar 1-May 15,State-owned banks launched an emergency credit line to provide funds to its existing MSME and corporate borrowers in the last ...,neutral
24,24,"May 18, 2020, Monday","All for liquidity: Watch every rupee, chase dues, and refinance debt","Refinancing high-cost debt into low-cost debt is possible, thanks to the RBI's TLTROs",neutral
25,25,"May 17, 2020, Sunday",Reserve Bank makes $21-billion cut to US treasury holdings in March,Central bank does huge OMO silently to control domestic bond yields,neutral
26,26,"May 15, 2020, Friday","Stimulus 2.0: Banks will monitor solvency, guarantees cool credit risk fear","While the issue of providing liquidity to existing borrowers who are sapped of revenues has been addressed, banks will have to ...",neutral
27,27,"May 14, 2020, Thursday","Equitas SFB posts 8.4% rise in FY20 pre-tax profit, income up 22%","Bank has made a provision of Rs 99.63 cr for the period ended March 31, 2020, based on assessment of recoverability of advances",positive
28,28,"May 14, 2020, Thursday",RBI googly on adherence to new Press Note 3 norms puts AIFs in a bind,Raises doubts over drawing down capital from Chinese LPs,neutral
29,29,"May 14, 2020, Thursday",NBFC yields yet to show contraction in spreads after govt measures,"Experts believe spreads will contract as the credit lines start getting utilised, and banks regain confidence about NBFC papers ...",neutral
30,30,"May 13, 2020, Wednesday","Sitharaman gives liquidity boost of Rs 75,000 cr to shadow banks, MFIs","Sitharaman announced a special liquidity scheme of Rs 30,000 crore for NBFCs, housing finance companies (HFCs) and MFIs, which ...",positive
31,31,"May 13, 2020, Wednesday","Kotak Bank profit before tax slips 10.6% at Rs 2,674 cr for March 2020 qtr",Profit down due to Covid provisioning and lower other income,negative
32,32,"May 12, 2020, Tuesday","Differentiated bank holdco norms on cards; Bandhan, IDFC First may benefit","Lenders that do not have subsidiaries in insurance, asset management, and broking may be exempt from having a non-operative ...",positive
33,33,"May 12, 2020, Tuesday",Bad bank may start with Rs 60K-crore NPAs; govt may put in Rs 10K crore,"Banking lobby group Indian Banks' Association (IBA) is expected to take the proposal, which is on the lines of the Sashakt panel ...",neutral
34,34,"May 11, 2020, Monday","Some MSMEs may need deep restructuring, not just liquidity: Union Bank",Bank chief Rajkiran Rai says IBA has taken up the issue of restructuring with RBI,neutral
35,35,"May 11, 2020, Monday","IBA considering proposal to set up AMC and AIF, takeover NPAs from PSBs",The coronavirus pandemic is expected to result in a rise in non-performing assets (NPAs) despite relief measures,neutral
36,36,"May 10, 2020, Sunday","Not offering any emergency loan through YONO platform, clarifies SBI","SBI, however, said it is in the process of introducing a pre-approved personal loan offering through YONO to provide relief to ...",neutral
37,37,"May 10, 2020, Sunday",Bond yields expected to jump 15-20 bps on govt's extra borrowing,"The excess borrowing will, however, ease the pressure on the RBI's liquidity operation as banks will absorb the excess G-Secs",positive
