,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,score1,score2
1689,2006-09-21,UTIBANK,EQ,346.95,349.0,360.9,347.0,356.0,355.2,352.99,1298337,45829360090000.0,,818956.0,0.6308,neutral,neutral
1690,2006-09-22,UTIBANK,EQ,355.2,355.5,359.55,351.2,351.5,352.85,355.61,224414,7980303009999.999,,45564.0,0.203,neutral,neutral
1691,2006-09-25,UTIBANK,EQ,352.85,350.0,355.95,347.2,353.0,352.5,352.34,355689,12532497275000.0,,157128.0,0.4418,neutral,negative
1692,2006-09-26,UTIBANK,EQ,352.5,351.05,355.95,347.0,350.0,350.1,351.01,284263,9977787010000.0,,143153.0,0.5036,neutral,neutral
1693,2006-09-27,UTIBANK,EQ,350.1,350.1,371.95,350.1,369.95,370.15,365.22,1067134,38974204395000.0,,537190.0,0.5034000000000001,neutral,neutral
1694,2006-09-28,UTIBANK,EQ,370.15,372.0,399.0,370.0,394.0,394.6,388.55,1492236,57981010185000.0,,600354.0,0.4023,neutral,neutral
1695,2006-09-29,UTIBANK,EQ,394.6,394.0,394.9,377.5,379.0,379.2,383.86,638473,24508185690000.0,,279665.0,0.43799999999999994,neutral,neutral
1696,2006-10-03,UTIBANK,EQ,379.2,375.0,386.5,375.0,380.9,380.45,382.64,410568,15710152235000.0,,227312.0,0.5537,neutral,neutral
1697,2006-10-04,UTIBANK,EQ,380.45,384.7,386.9,372.1,384.0,383.8,384.32,729889,28050944780000.0,,578518.0,0.7926000000000001,positive,neutral
1698,2006-10-05,UTIBANK,EQ,383.8,388.0,392.0,383.15,387.0,388.8,388.17,657449,25520451505000.0,,360822.0,0.5488000000000001,neutral,neutral
1699,2006-10-06,UTIBANK,EQ,388.8,391.0,401.4,389.5,393.8,394.45,394.99,599972,23698174580000.0,,306476.0,0.5108,neutral,neutral
1700,2006-10-09,UTIBANK,EQ,394.45,394.1,398.0,385.3,387.0,388.6,391.78,315087,12344379290000.0,,164956.0,0.5235000000000001,neutral,neutral
1701,2006-10-10,UTIBANK,EQ,388.6,389.3,393.0,385.2,390.0,389.05,389.36,262485,10220159490000.0,,121121.0,0.4614,neutral,neutral
1702,2006-10-11,UTIBANK,EQ,389.05,390.1,393.2,384.85,389.0,387.2,388.07,186547,7239335934999.999,,75667.0,0.4056,neutral,neutral
1703,2006-10-12,UTIBANK,EQ,387.2,388.95,399.9,385.25,399.15,397.3,393.49,432041,17000564885000.0,,239974.0,0.5554,positive,neutral
1704,2006-10-13,UTIBANK,EQ,397.3,404.0,411.9,404.0,410.0,410.0,408.83,961814,39321886060000.0,,400690.0,0.4166,neutral,neutral
1705,2006-10-16,UTIBANK,EQ,410.0,415.0,430.9,411.15,416.2,419.3,418.82,1544265,64676734779999.99,,825169.0,0.5343,neutral,positive
1706,2006-10-17,UTIBANK,EQ,419.3,413.0,421.0,410.1,416.5,414.8,415.5,446928,18569767345000.0,,266700.0,0.5967,neutral,neutral
1707,2006-10-18,UTIBANK,EQ,414.8,418.0,425.0,411.0,417.7,418.5,418.9,446985,18724225155000.0,,208008.0,0.4654,neutral,neutral
1708,2006-10-19,UTIBANK,EQ,418.5,429.7,429.7,409.0,410.0,409.75,414.19,204263,8460431715000.001,,91885.0,0.4498,neutral,neutral
