,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,score1,score2
1689,2006-09-21,SBIN,EQ,974.6,975.5,989.9,975.5,983.05,984.7,984.5,488787,48121050710000.0,,138638.0,0.2836,neutral,neutral
1690,2006-09-22,SBIN,EQ,984.7,985.0,989.5,970.0,972.35,975.75,981.16,774540,75994511470000.0,,257261.0,0.3321,neutral,neutral
1691,2006-09-25,SBIN,EQ,975.75,977.5,984.0,966.7,967.2,970.7,975.35,969645,94574291710000.0,,456841.0,0.4711,neutral,negative
1692,2006-09-26,SBIN,EQ,970.7,973.85,1001.0,968.55,999.5,998.75,989.07,1544443,152755934195000.0,,454887.0,0.2945,neutral,neutral
1693,2006-09-27,SBIN,EQ,998.75,1010.0,1012.4,996.0,998.0,1000.9,1004.63,1802760,181111477345000.0,,581446.0,0.3225,neutral,neutral
1694,2006-09-28,SBIN,EQ,1000.9,1000.0,1039.45,997.0,1029.0,1029.3,1019.72,2548119,259837295300000.0,,935755.0,0.3672,neutral,neutral
1695,2006-09-29,SBIN,EQ,1029.3,1044.0,1044.0,1020.1,1025.9,1028.65,1027.78,1102403,113302880059999.98,,273040.0,0.2477,neutral,neutral
1696,2006-10-03,SBIN,EQ,1028.65,1029.0,1037.8,1023.1,1030.1,1033.35,1031.42,874932,90242621335000.0,,236806.0,0.2707,neutral,neutral
1697,2006-10-04,SBIN,EQ,1033.35,1033.8,1034.9,1011.1,1013.55,1015.3,1020.38,908404,92692010650000.0,,216871.0,0.2387,positive,neutral
1698,2006-10-05,SBIN,EQ,1015.3,1028.0,1045.8,1022.1,1038.05,1039.7,1038.24,1235803,128305537350000.0,,458414.0,0.3709000000000001,neutral,neutral
1699,2006-10-06,SBIN,EQ,1039.7,1043.8,1043.8,1030.15,1032.9,1033.15,1035.39,486887,50411978055000.0,,141085.0,0.2898,neutral,neutral
1700,2006-10-09,SBIN,EQ,1033.15,1029.7,1040.0,1015.0,1039.1,1034.6,1032.95,637619,65862829185000.0,,251713.0,0.3948,neutral,neutral
1701,2006-10-10,SBIN,EQ,1034.6,1039.5,1041.4,1024.25,1025.75,1026.0,1032.4,467921,48308130705000.0,,111966.0,0.2393,neutral,neutral
1702,2006-10-11,SBIN,EQ,1026.0,1033.0,1036.0,999.0,1006.1,1003.95,1015.29,671404,68167157590000.0,,212942.0,0.3172,neutral,neutral
1703,2006-10-12,SBIN,EQ,1003.95,1010.0,1033.0,995.05,1032.5,1028.85,1012.97,870419,88170851235000.0,,144532.0,0.166,positive,neutral
1704,2006-10-13,SBIN,EQ,1028.85,1037.8,1037.8,1019.1,1022.7,1021.45,1026.59,568045,58314968685000.0,,174500.0,0.3072,neutral,neutral
1705,2006-10-16,SBIN,EQ,1021.45,1027.0,1033.3,1014.5,1026.0,1026.8,1026.6,771055,79156124675000.0,,200514.0,0.2601,neutral,positive
1706,2006-10-17,SBIN,EQ,1026.8,1030.0,1043.4,1022.35,1034.25,1034.3,1034.99,656013,67896504375000.0,,92930.0,0.1417,neutral,neutral
1707,2006-10-18,SBIN,EQ,1034.3,1033.0,1050.0,1030.0,1045.0,1044.45,1044.89,868881,90788676350000.0,,274588.0,0.316,neutral,neutral
1708,2006-10-19,SBIN,EQ,1044.45,1046.0,1054.0,1028.6,1035.5,1037.3,1040.8,863126,89834252915000.0,,254544.0,0.2949,neutral,neutral
1709,2006-10-20,SBIN,EQ,1037.3,1044.0,1050.0,1035.25,1040.0,1040.65,1043.67,559415,58384725579999.99,,206712.0,0.3695000000000001,neutral,neutral
